occTypeMain,occTypeSub,occLoadFactor,areaType,notes
"Accessory storage areas, mechanical equipment room",,300,gross,
Agricultural building ,,300,gross,
Aircraft hangars,,500,gross,
Airport terminal,Baggage claim,20,gross,
Airport terminal,Baggage handling,300,gross,
Airport terminal,Concourse,100,gross,
Airport terminal,Waiting areas,15,gross,
Assembly,"Gaming floors (keno, slots, etc.)",11,gross,
Assembly,Exhibit Gallery and Museum,30,net,
Assembly with fixed seats,,,, See Section 1004.4
Assembly without fixed seats ,Concentrated (chairs only-not fixed) ,7,net,
Assembly without fixed seats,Standing space,5,net,
Assembly without fixed seats,Unconcentrated (tables and chairs) ,15,net,
"Bowling centers, allow 5 persons for each lane including 15 feet of runway, and for additional areas",,7,net,
Business areas ,,100,gross,
Courtrooms—other than fixed seating areas,,40,net,
Day care,,35,net,
Dormitories ,,50,gross,
Educational,Classroom area,20,net,
Educational,Shops and other vocational room areas,50,net,
Exercise rooms ,,50,gross,
Group H-5 Fabrication and manufacturing areas ,,200,gross,
Industrial areas ,,100,gross,
Institutional areas,Inpatient treatment areas,240,gross,
Institutional areas,Outpatient areas,100,gross,
Institutional areas,Sleeping areas,120,gross,
"Kitchens, commercial ",,200,gross,
Laboratory,Educational,50,net,
Laboratory,"Laboratories, non-educational",100,net,
Laboratory suite,Laboratory suite (note b ),200,gross, b. See Section 453.2. 
Library,Reading rooms,50,net,
Library,Stack area,100,gross,
Locker rooms ,,50,gross,
Mall buildings—covered and open ,,,,See Section 402.8.2
Mercantile,Mercantile,60,gross,
Mercantile,"Storage, stock, shipping areas",300,gross,
Parking garages ,,200,gross,
Residential ,,200,gross,
"Skating rinks, swimming pools",Rink and pool,50,gross,
"Skating rinks, swimming pools",Decks,15,gross,
Stages and platforms,,15,net,
Warehouses,,500,gross ,
